"event","screen"
"Product Info / Changed Weight","Product Info"
"Product Info / Click On Alert","Product Info"
"Product Info / Click On Cost Help","Product Info"
"Product Info / Click On Stock","Product Info"
"Product Info / Click On Unit Cost","Product Info"
"Product Info / Click On Unit Price","Product Info"
"Product Info / Click On Weight","Product Info"
"Product Info / Edit Product Name","Product Info"
"Product Info / Finish Video Help","Product Info"
"Product Info / Open Video Help","Product Info"
"Product Info / Quick Sale","Product Info"
"Product Info / Remove Confirmation","Product Info"
"Product Info / Removed","Product Info"
"Products / Click on item","Products"
"Products / Manual Product Search","Products"
"Products / Open Camera Scanner","Products"
"Products / Quick Sale","Products"
"Purchase history / Cancel debts","Purchase history"
"Purchase history / Cancel Single Debt","Purchase history"
"Purchase history / Click on item","Purchase history"
"Purchase Item Form / Accept","Purchase Item Form"
"Purchase Item Form / Adjust","Purchase Item Form"
"Purchase Item Form / Cancel","Purchase Item Form"
"Purchase Item Form / Click on Cost","Purchase Item Form"
"Purchase Item Form / Click on IVA","Purchase Item Form"
"Purchase Item Form / Click on Quantity","Purchase Item Form"
"Purchase Item Form / Click on Total","Purchase Item Form"
"Purchase Order Welcome / Quick Sale","Purchase Order Welcome"
"Purchase Order Welcome / Start Empty Order","Purchase Order Welcome"
"Purchase Order Welcome / Start Suggested Purchase Order","Purchase Order Welcome"
"Quick Access Purchase / Manual Product Search","Quick Access Purchase"
"Quick Access Purchase / Quick Sale","Quick Access Purchase"
"Quick Access Sale / Add Product to List","Quick Access Sale"
"Quick Access Sale / Click on item","Quick Access Sale"
"Quick Access Sale / Manual Product Search","Quick Access Sale"
"Quick Access Sale / Quick Sale","Quick Access Sale"
"Quick Sale / Add Fast Access Products","Quick Sale"
"Quick Sale / Airtime Sale Keypad","Quick Sale"
"Quick Sale / Calculate Sale Change","Quick Sale"
"Quick Sale / Calculator","Quick Sale"
"Quick Sale / Control","Quick Sale"
"Quick Sale / Control In-app","Quick Sale"
"Quick Sale / Customer Info","Quick Sale"
"Quick Sale / Customer List","Quick Sale"
"Quick Sale / Customers List","Quick Sale"
"Quick Sale / Edit Customer","Quick Sale"
"Quick Sale / Expenses and mov.","Quick Sale"
"Quick Sale / HelpCentreWebViewActivity","Quick Sale"
"Quick Sale / Home","Quick Sale"
"Quick Sale / New Product Form","Quick Sale"
"Quick Sale / New Purchase","Quick Sale"
"Quick Sale / New Sale","Quick Sale"
"Quick Sale / Order Confirmation","Quick Sale"
"Quick Sale / Other charge methods","Quick Sale"
"Quick Sale / Product Info","Quick Sale"
"Quick Sale / Products","Quick Sale"
"Quick Sale / Purchase Suggester","Quick Sale"
"Quick Sale / Register Operations","Quick Sale"
"Quick Sale / Supplier Form","Quick Sale"
"Quick Sale / Supplier History","Quick Sale"
"Quick Sale / Suppliers List","Quick Sale"
"Quick Sale / Suppliers Today","Quick Sale"
"Register Operations / Change Date","Register Operations"
"Register Operations / Click on item","Register Operations"
"Register Operations / Remove Item","Register Operations"
"Sale Item Form / Accept","Sale Item Form"
"Sale Item Form / Cancel","Sale Item Form"
"Sale Payment Methods / Add a new Customer","Sale Payment Methods"
"Sale Payment Methods / Calculate Change","Sale Payment Methods"
"Sale Payment Methods / Charge Cash","Sale Payment Methods"
"Sale Payment Methods / Click on a Customer","Sale Payment Methods"
"Sale Payment Methods / Customer Credit","Sale Payment Methods"
"Sale Payment Methods / My Account","Sale Payment Methods"
"Sale Payment Methods / Print 1 receipt","Sale Payment Methods"
"Sale Payment Methods / Print 2 receipts","Sale Payment Methods"
"Sale Payment Methods / Quick Sale","Sale Payment Methods"
"Scanner / Airtime barcodes","Scanner"
"Scanner / Close Sale","Scanner"
"Scanner / Connected","Scanner"
"Scanner / Could not connect","Scanner"
"Scanner / Finish Sale","Scanner"
"Scanner / Print and Finish Sale","Scanner"
"Scanner / Purchase SKU","Scanner"
"Scanner / Quick Sale","Scanner"
"Scanner / Sale SKU","Scanner"
"Scanner / SLP SKU","Scanner"
"Settings / Help and Training","Settings"
"Settings / Information","Settings"
"Settings / Save Receipts","Settings"
"Settings / Support","Settings"
"Sign Up / Open My Shop","Sign Up"
"Supplier Catalog / Click on item","Supplier Catalog"
"Supplier Catalog / Manual Product Search","Supplier Catalog"
"Supplier Catalog / Quick Sale","Supplier Catalog"
"Supplier stockouts / Click on item","Supplier stockouts"
"Suppliers Form / Cancel","Suppliers Form"
"Suppliers Form / Choose a Logo","Suppliers Form"
"Suppliers Form / Each Two Weeks","Suppliers Form"
"Suppliers Form / Monthly","Suppliers Form"
"Suppliers Form / Quick Sale","Suppliers Form"
"Suppliers Form / RFC Help","Suppliers Form"
"Suppliers Form / Save","Suppliers Form"
"Suppliers Form / The next day","Suppliers Form"
"Suppliers Form / The same day","Suppliers Form"
"Suppliers Form / Weekly","Suppliers Form"
"Suppliers List / Add new supplier","Suppliers List"
"Suppliers List / Edit Supplier","Suppliers List"
"Suppliers List / History","Suppliers List"
"Suppliers List / Manual Supplier Search","Suppliers List"
"Suppliers List / My catalog","Suppliers List"
"Suppliers List / New Order","Suppliers List"
"Suppliers List / Overstock Report","Suppliers List"
"Suppliers List / Quick Sale","Suppliers List"
"Suppliers List / Remove Supplier","Suppliers List"
"Suppliers List / Sold Out","Suppliers List"
"Suppliers Today / Edit Supplier","Suppliers Today"
"Suppliers Today / History","Suppliers Today"
"Suppliers Today / My catalog","Suppliers Today"
"Suppliers Today / New Order","Suppliers Today"
"Suppliers Today / Next","Suppliers Today"
"Suppliers Today / Overstock Report","Suppliers Today"
"Suppliers Today / Quick Sale","Suppliers Today"
"US499 Max quantity warning / Max quantity warning","US499 Max quantity warning"
"Weight Sale / Click on item","Weight Sale"
"Weight Sale / Manual Product Search","Weight Sale"
"Weight Sale / Quick Sale","Weight Sale"
"Welcome / Open App","Welcome"
